mid_lat,mid_lon,bearing_deg
54.802,-5.7275,90.0
54.8015,-5.727,0.0
54.801,-5.7265,90.0
54.801,-5.7255,90.0
54.8005,-5.725,0.0
54.8,-5.7245,90.0
54.7995,-5.724,0.0
54.799,-5.7235,90.0
54.7985,-5.723,0.0
54.7975,-5.723,0.0
54.7965,-5.723,0.0
54.796,-5.7235,90.0
54.7955,-5.724,0.0
54.7945,-5.724,0.0
54.794,-5.7255,90.0
54.7935,-5.7255,150.0
54.7935,-5.725,0.0
54.793,-5.7235,90.0
54.793,-5.7225,90.0
54.793,-5.7215,90.0
54.7925,-5.721,0.0
54.7915,-5.721,0.0
54.7905,-5.721,0.0
54.79,-5.7205,90.0
54.7895,-5.72,0.0
54.789,-5.7195,90.0
54.7885,-5.719,0.0
54.788,-5.7195,90.0
54.7875,-5.72,0.0
54.787,-5.7205,90.0
54.7865,-5.721,0.0
54.786,-5.7215,90.0
54.7865,-5.722,0.0
54.787,-5.7225,90.0
54.7865,-5.723,0.0
54.786,-5.7235,90.0
54.786,-5.7245,90.0
54.7855,-5.725,0.0
54.7845,-5.725,0.0
54.784,-5.7245,90.0
54.784,-5.7235,90.0
54.7845,-5.723,0.0
54.785,-5.7225,90.0
54.785,-5.7215,90.0
54.785,-5.7205,90.0
54.785,-5.7195,90.0
54.7855,-5.719,0.0
54.786,-5.7185,90.0
54.7855,-5.718,0.0
54.7845,-5.719,0.0
54.784,-5.7195,90.0
54.7835,-5.72,0.0
54.783,-5.7205,90.0
54.7825,-5.721,0.0
54.7815,-5.721,0.0
54.781,-5.7215,90.0
54.7805,-5.722,0.0
54.78,-5.7215,90.0
54.7795,-5.721,0.0
54.7785,-5.721,0.0
54.778,-5.7215,90.0
54.778,-5.7225,90.0
54.778,-5.7235,90.0
54.778,-5.7245,90.0
54.778,-5.7255,90.0
54.7785,-5.726,0.0
54.7795,-5.726,0.0
54.78,-5.7265,90.0
54.7805,-5.727,0.0
54.781,-5.7275,90.0
54.7815,-5.728,0.0
54.7825,-5.728,0.0
54.783,-5.7285,90.0
54.7835,-5.729,0.0
54.784,-5.7295,90.0
54.7845,-5.73,0.0
54.7855,-5.73,0.0
54.786,-5.7305,90.0
54.7865,-5.731,0.0
54.7875,-5.731,0.0
54.788,-5.7315,90.0
54.7885,-5.732,0.0
54.7895,-5.732,0.0
54.79,-5.7325,90.0
54.79,-5.7335,90.0
54.7905,-5.734,0.0
54.7915,-5.7345,150.0
54.792,-5.7355,90.0
54.7925,-5.736,0.0
54.793,-5.7365,90.0
54.7935,-5.737,0.0
54.794,-5.7375,90.0
54.7945,-5.738,0.0
54.795,-5.7375,90.0
54.7955,-5.737,0.0
54.796,-5.7375,90.0
54.7965,-5.738,0.0
54.797,-5.7385,90.0
54.797,-5.7395,90.0
54.7975,-5.74,0.0
54.798,-5.7405,90.0
54.798,-5.7415,90.0
54.7985,-5.742,0.0
54.799,-5.7425,90.0
54.7995,-5.743,0.0
54.8005,-5.743,0.0
54.801,-5.7435,90.0
54.801,-5.7445,90.0
54.8015,-5.745,0.0
54.802,-5.7455,90.0
54.8025,-5.746,0.0
54.803,-5.7465,90.0
54.8035,-5.747,0.0
